"Date Made Public","Company","Location","Type of breach","Type of organization","Records Breached","Total Records","Description of incident","Information Source","Source URL"
"January 3, 2013","King Drug & Home Care","Owensboro, Kentucky","PORT","MED","13,619","13,619","An employee reported that a portable hard drive was missing on November 23, 2010.  The device had last been seen sometime around November 19.  The data on the device included information from before July 31, 2009.  Client names, Social Security numbers, medical record numbers, account numbers, dates of service, race, insurance carriers and insurance numbers, addresses, phone numbers, sex, dates of birth, diagnosis information, allergies, initial referral forms, patient assessments/plans of care, physician orders and/or delivery ticket information may have been on the hard drive.","PHIPrivacy.net",""
"January 3, 2013","Mission Hospital, St. Joseph Health","Mission Laguna Beach, California","PORT","MED","Unknown","Unknown","Someone called Mission Hospital on August 28, 2012 and claimed that he found a flash drive with sensitive patient information in his garage.  The flash drive was returned to Mission Hospital via mailed envelope on September 11, 2012.  Patients who received services at Mission Hospital between September and November of 2008 may have had their information exposed. The notice that was sent to patients was dated September 14, 2012.  It appears that a contractor or employee misplaced the unencrypted flash drive.The flash drive contained names, medical record numbers, and account numbers. Additionally, the flash drive may have contained some combination of date of admission, age, birth date, vital readings, physical examination, gender, race, name of physician, medical history, past and current treatment and illnesses, history of substance use, family history, lab tests and results, imaging tests and results, body weight, physician notes on patient, care plan, employment status and employer, prognosis, diagnosis, treatment recommendations, allergies, medications, comments about patient's appearance, patient health complaint, symptoms, reason for referral, and reason for admission information.","PHIPrivacy.net",""
"January 4, 2013","Healing Hearts","Jacksonville, North Carolina","INSD","MED","Unknown","Unknown","The owner of a group of childcare services pleaded guilty to defrauding Medicaid of $8 million.  She and a co-defendant targeted medicaid recipients in order to enroll them in a program and make fraudulent Medicaid claims for mental and behavioral health services.  Additionally, the owner pleaded guilty to misusing at least one therapist's credentials in order to make the claims for mental and behavioral health services.  The scheme took place between 2008 and 2012.","California Attorney General",""
"January 2, 2013","Hospice of North Idaho (HONI)","Hayden, Idaho","PORT","MED","441 (No SSNs or financial information reported)","Unknown","The June 2010 theft of an unencrypted laptop from an employee's car resulted in the exposure of patient information.  The HHS Office for Civil Rights investigated the breach and found that HONI had not conducted a risk analysis to safeguard electronic protected health information.  It was also discovered that HONI did not meet a HIPAA Security Rule that required them to have policies or procedures in place to address mobile device security.  HONI agreed to pay the U.S. Department of Health and Human Services' (HHS) $50,000 regarding potential Health Insurance Portability and Accountability Act of 1996 Security Rule violations.  HONI also began taking extensive steps to improve their HIPAA Privacy and Security compliance program since the June 2010 breach.","PHIPrivacy.net",""
"January 7, 2013","Office of Dr. Calvin L. Schuster","Reedley, California","STAT","MED","532 (No SSNs or financial information reported)","Unknown","A computer was stolen during an office burglary that occurred sometime around November 5, 2012.  The computer contained patient names, dates of birth, and a minimal amount of patient medical information.","California Attorney General",""
"January 10, 2013","Office of Dr. Sandra Bujanda-Wagner","Aurora, Colorado","PHYS","MED","Unknown","Unknown","Employees accidentally threw out hundreds of patient records.  The dental records were found by someone looking through a dumpster and the incident was reported to a local news team.  Names, Social Security numbers, dates of birth and addresses were exposed. Employees from Bujanda-Wagner's office came to recover the documents.","PHIPrivacy.net",""
"January 7, 2013","Woodwinds Hospital","Woodbury, Minnesota","INSD","MED","Unknown","Unknown","An employee kept 200 pages of confidential information in an effort to prove that Woodwinds Hospital was trying to conceal evidence of medical misconduct.  The employee was discharged in 2010 for reasons unrelated to removing the information.  She claims to have taken them home after being ordered to destroy any information related to incidents that could damage Woodwinds Hospital's reputation.","PHIPrivacy.net",""
"January 17, 2013","St. Mark's Medical Center","La Grange, Texas","HACK","MED","2,988","2,988","An employee's computer was found to contain malware.  The malware infection began on May 21, 2012 and was discovered on November 15, 2012.  Files stored on the computer contained billing information with patient names, Social Security numbers, account numbers, medical record numbers, dates of birth, gender, treatment dates, insurance provider names, and account balances.","PHIPrivacy.net",""
"January 22, 2013","NECA/IBEW Family Medical Care Plan","Rockville, Maryland","DISC","MED","Unknown","Unknown","NECA/IBEM Family Medical Care Plan (FMCP) participants received disclosure documents related to benefits coverage and modifications.  The outside of the envelopes in which the documents arrived displayed participant Social Security numbers.","California Attorney General",""
"January 24, 2013","Brentwood Primary Care Clinic","Jacksonville, Florida","INSD","MED","261","261","A dishonest intern was caught using a cell phone to illegally photograph patient Social Security numbers and names.  The photos were then sent to another person; presumably for fraudulent activity.  The office intern was charged with fraudulent use of personal identification information. It is unclear when the breach was discovered since the photos were taken between May 7 and June 19.","PHIPrivacy.net",""
