SalesOfficeCity,CustomerCity,dayofmonth,distance
"Chicago, IL","Des Moines, IA",3,299
"Chicago, IL","Columbus, OH",3,296
"Chicago, IL","Cleveland, OH",3,316
"Chicago, IL","Kansas City, MO",3,403
"Dallas/Fort Worth, TX","Houston, TX",3,224
"Chicago, IL","Minneapolis, MN",3,334
"Chicago, IL","Minneapolis, MN",3,334
"Chicago, IL","Buffalo, NY",3,474
"Chicago, IL","Columbus, OH",3,296
"Chicago, IL","Cleveland, OH",3,316
"Chicago, IL","Grand Rapids, MI",3,137
"Chicago, IL","Columbus, OH",3,296
"Chicago, IL","Minneapolis, MN",3,334
"Chicago, IL","Kansas City, MO",3,403
"Chicago, IL","Milwaukee, WI",3,67
"Chicago, IL","Milwaukee, WI",3,67
"Chicago, IL","Pittsburgh, PA",3,413
"Chicago, IL","Madison, WI",3,108
"Chicago, IL","Madison, WI",3,108
"Chicago, IL","Nashville, TN",3,409
"Chicago, IL","Buffalo, NY",3,474
"Chicago, IL","Des Moines, IA",3,299
"Chicago, IL","Omaha, NE",3,416
"Chicago, IL","Minneapolis, MN",3,334
"Dallas/Fort Worth, TX","Houston, TX",3,224
"Chicago, IL","Detroit, MI",3,235
"Dallas/Fort Worth, TX","Houston, TX",3,224
"Chicago, IL","Omaha, NE",3,416
"Chicago, IL","Cincinnati, OH",3,264
"Chicago, IL","Des Moines, IA",2,299
"Chicago, IL","Minneapolis, MN",2,334
"Chicago, IL","Columbus, OH",2,296
"Chicago, IL","Cleveland, OH",2,316
"Chicago, IL","Minneapolis, MN",2,334
"Chicago, IL","Kansas City, MO",2,403
"Chicago, IL","Detroit, MI",2,235
"Dallas/Fort Worth, TX","Houston, TX",2,224
"Chicago, IL","Cincinnati, OH",2,264
"Chicago, IL","Kansas City, MO",2,403
"Chicago, IL","Minneapolis, MN",2,334
"Chicago, IL","Minneapolis, MN",2,334
"Chicago, IL","Kansas City, MO",2,403
"Dallas/Fort Worth, TX","Houston, TX",2,224
"Chicago, IL","Buffalo, NY",2,474
"Chicago, IL","Columbus, OH",2,296
"Chicago, IL","Cleveland, OH",2,316
"Chicago, IL","Grand Rapids, MI",2,137
"Chicago, IL","Pittsburgh, PA",2,413
"Chicago, IL","Minneapolis, MN",2,334
"Chicago, IL","Columbus, OH",2,296
"Chicago, IL","Minneapolis, MN",2,334
"Chicago, IL","Cleveland, OH",2,316
"Chicago, IL","Milwaukee, WI",2,67
"Chicago, IL","Pittsburgh, PA",2,413
"Chicago, IL","Cleveland, OH",2,316
"Chicago, IL","Minneapolis, MN",2,334
"Chicago, IL","Madison, WI",2,108
"Chicago, IL","Milwaukee, WI",2,67
"Chicago, IL","Madison, WI",2,108
"Chicago, IL","Pittsburgh, PA",2,413
"Chicago, IL","Cleveland, OH",2,316
"Chicago, IL","Buffalo, NY",2,474
"Chicago, IL","Des Moines, IA",2,299
"Chicago, IL","Omaha, NE",2,416
"Chicago, IL","Minneapolis, MN",2,334
"Chicago, IL","Minneapolis, MN",2,334
"Chicago, IL","Minneapolis, MN",2,334
"Dallas/Fort Worth, TX","Houston, TX",2,224
"Chicago, IL","Detroit, MI",2,235
"Dallas/Fort Worth, TX","Houston, TX",2,224
"Dallas/Fort Worth, TX","Houston, TX",2,224
"Chicago, IL","Nashville, TN",2,409
"Chicago, IL","Kansas City, MO",2,403
"Chicago, IL","Des Moines, IA",1,299
"Chicago, IL","Minneapolis, MN",1,334
"Chicago, IL","Cleveland, OH",1,316
"Chicago, IL","Minneapolis, MN",1,334
"Chicago, IL","Kansas City, MO",1,403
"Chicago, IL","Detroit, MI",1,235
"Dallas/Fort Worth, TX","Houston, TX",1,224
"Chicago, IL","Cincinnati, OH",1,264
"Chicago, IL","Kansas City, MO",1,403
"Chicago, IL","Minneapolis, MN",1,334
"Chicago, IL","Minneapolis, MN",1,334
"Chicago, IL","Kansas City, MO",1,403
"Dallas/Fort Worth, TX","Houston, TX",1,224
"Chicago, IL","Buffalo, NY",1,474
"Chicago, IL","Columbus, OH",1,296
"Chicago, IL","Cleveland, OH",1,316
"Chicago, IL","Grand Rapids, MI",1,137
"Chicago, IL","Pittsburgh, PA",1,413
"Chicago, IL","Minneapolis, MN",1,334
"Chicago, IL","Columbus, OH",1,296
"Chicago, IL","Cleveland, OH",1,316
"Chicago, IL","Pittsburgh, PA",1,413
"Chicago, IL","Cleveland, OH",1,316
"Chicago, IL","Minneapolis, MN",1,334
"Chicago, IL","Madison, WI",1,108
"Chicago, IL","Milwaukee, WI",1,67
"Chicago, IL","Madison, WI",1,108
"Chicago, IL","Pittsburgh, PA",1,413
"Chicago, IL","Cleveland, OH",1,316
"Chicago, IL","Buffalo, NY",1,474
"Chicago, IL","Columbus, OH",1,296
"Chicago, IL","Des Moines, IA",1,299
"Chicago, IL","Omaha, NE",1,416
"Chicago, IL","Minneapolis, MN",1,334
"Chicago, IL","Minneapolis, MN",1,334
"Chicago, IL","Minneapolis, MN",1,334
"Dallas/Fort Worth, TX","Houston, TX",1,224
"Chicago, IL","Detroit, MI",1,235
"Dallas/Fort Worth, TX","Houston, TX",1,224
"Dallas/Fort Worth, TX","Houston, TX",1,224
"Chicago, IL","Nashville, TN",1,409
"Chicago, IL","Kansas City, MO",1,403
"Dallas/Fort Worth, TX","Houston, TX",1,224
"Dallas/Fort Worth, TX","Baton Rouge, LA",1,383
"Dallas/Fort Worth, TX","Baton Rouge, LA",2,383
"Dallas/Fort Worth, TX","Baton Rouge, LA",3,383
"Dallas/Fort Worth, TX","Baton Rouge, LA",1,383
"Dallas/Fort Worth, TX","Baton Rouge, LA",2,383
"Dallas/Fort Worth, TX","Baton Rouge, LA",3,383
"Dallas/Fort Worth, TX","Baton Rouge, LA",1,383
"Dallas/Fort Worth, TX","Baton Rouge, LA",2,383
"Dallas/Fort Worth, TX","Baton Rouge, LA",3,383
"Dallas/Fort Worth, TX","Alexandria, LA",1,285
"Dallas/Fort Worth, TX","Manhattan/Ft. Riley, KS",1,431
"Dallas/Fort Worth, TX","Manhattan/Ft. Riley, KS",2,431
"Dallas/Fort Worth, TX","Manhattan/Ft. Riley, KS",3,431
"Dallas/Fort Worth, TX","Manhattan/Ft. Riley, KS",1,431
"Dallas/Fort Worth, TX","Manhattan/Ft. Riley, KS",2,431
"Dallas/Fort Worth, TX","Manhattan/Ft. Riley, KS",3,431
"Dallas/Fort Worth, TX","Manhattan/Ft. Riley, KS",1,431
"Dallas/Fort Worth, TX","Manhattan/Ft. Riley, KS",2,431
"Dallas/Fort Worth, TX","Alexandria, LA",1,285
"Dallas/Fort Worth, TX","Tyler, TX",1,102
"Dallas/Fort Worth, TX","Lake Charles, LA",1,295
"Dallas/Fort Worth, TX","Lake Charles, LA",1,295
"Dallas/Fort Worth, TX","Houston, TX",2,247
"Dallas/Fort Worth, TX","Houston, TX",3,247
"Dallas/Fort Worth, TX","Lawton/Fort Sill, OK",2,140
"Dallas/Fort Worth, TX","Lawton/Fort Sill, OK",3,140
"Dallas/Fort Worth, TX","San Angelo, TX",1,229
"Dallas/Fort Worth, TX","San Angelo, TX",2,229
"Dallas/Fort Worth, TX","San Angelo, TX",3,229
"Dallas/Fort Worth, TX","San Angelo, TX",1,229
"Dallas/Fort Worth, TX","San Angelo, TX",2,229
"Dallas/Fort Worth, TX","San Angelo, TX",3,229
"Dallas/Fort Worth, TX","San Angelo, TX",1,229
