origin,dest,dayofmonth,distance
ORD,DSM,3,299
ORD,CMH,3,296
ORD,CLE,3,316
ORD,MCI,3,403
DFW,IAH,3,224
ORD,MSP,3,334
ORD,MSP,3,334
ORD,BUF,3,474
ORD,CMH,3,296
ORD,CLE,3,316
ORD,GRR,3,137
ORD,CMH,3,296
ORD,MSP,3,334
ORD,MCI,3,403
ORD,MKE,3,67
ORD,MKE,3,67
ORD,PIT,3,413
ORD,MSN,3,108
ORD,MSN,3,108
ORD,BNA,3,409
ORD,BUF,3,474
ORD,DSM,3,299
ORD,OMA,3,416
ORD,MSP,3,334
DFW,IAH,3,224
ORD,DTW,3,235
DFW,IAH,3,224
ORD,OMA,3,416
ORD,CVG,3,264
ORD,DSM,2,299
ORD,MSP,2,334
ORD,CMH,2,296
ORD,CLE,2,316
ORD,MSP,2,334
ORD,MCI,2,403
ORD,DTW,2,235
DFW,IAH,2,224
ORD,CVG,2,264
ORD,MCI,2,403
ORD,MSP,2,334
ORD,MSP,2,334
ORD,MCI,2,403
DFW,IAH,2,224
ORD,BUF,2,474
ORD,CMH,2,296
ORD,CLE,2,316
ORD,GRR,2,137
ORD,PIT,2,413
ORD,MSP,2,334
ORD,CMH,2,296
ORD,MSP,2,334
ORD,CLE,2,316
ORD,MKE,2,67
ORD,PIT,2,413
ORD,CLE,2,316
ORD,MSP,2,334
ORD,MSN,2,108
ORD,MKE,2,67
ORD,MSN,2,108
ORD,PIT,2,413
ORD,CLE,2,316
ORD,BUF,2,474
ORD,DSM,2,299
ORD,OMA,2,416
ORD,MSP,2,334
ORD,MSP,2,334
ORD,MSP,2,334
DFW,IAH,2,224
ORD,DTW,2,235
DFW,IAH,2,224
DFW,IAH,2,224
ORD,BNA,2,409
ORD,MCI,2,403
ORD,DSM,1,299
ORD,MSP,1,334
ORD,CLE,1,316
ORD,MSP,1,334
ORD,MCI,1,403
ORD,DTW,1,235
DFW,IAH,1,224
ORD,CVG,1,264
ORD,MCI,1,403
ORD,MSP,1,334
ORD,MSP,1,334
ORD,MCI,1,403
DFW,IAH,1,224
ORD,BUF,1,474
ORD,CMH,1,296
ORD,CLE,1,316
ORD,GRR,1,137
ORD,PIT,1,413
ORD,MSP,1,334
ORD,CMH,1,296
ORD,CLE,1,316
ORD,PIT,1,413
ORD,CLE,1,316
ORD,MSP,1,334
ORD,MSN,1,108
ORD,MKE,1,67
ORD,MSN,1,108
ORD,PIT,1,413
ORD,CLE,1,316
ORD,BUF,1,474
ORD,CMH,1,296
ORD,DSM,1,299
ORD,OMA,1,416
ORD,MSP,1,334
ORD,MSP,1,334
ORD,MSP,1,334
DFW,IAH,1,224
ORD,DTW,1,235
DFW,IAH,1,224
DFW,IAH,1,224
ORD,BNA,1,409
ORD,MCI,1,403
DFW,IAH,1,224
DFW,BTR,1,383
DFW,BTR,2,383
DFW,BTR,3,383
DFW,BTR,1,383
DFW,BTR,2,383
DFW,BTR,3,383
DFW,BTR,1,383
DFW,BTR,2,383
DFW,BTR,3,383
DFW,AEX,1,285
DFW,MHK,1,431
DFW,MHK,2,431
DFW,MHK,3,431
DFW,MHK,1,431
DFW,MHK,2,431
DFW,MHK,3,431
DFW,MHK,1,431
DFW,MHK,2,431
DFW,AEX,1,285
DFW,TYR,1,102
DFW,LCH,1,295
DFW,LCH,1,295
DFW,HOU,2,247
DFW,HOU,3,247
DFW,LAW,2,140
DFW,LAW,3,140
DFW,SJT,1,229
DFW,SJT,2,229
DFW,SJT,3,229
DFW,SJT,1,229
DFW,SJT,2,229
DFW,SJT,3,229
DFW,SJT,1,229
DFW,SJT,2,229
DFW,SJT,3,229
DFW,CLL,1,164
DFW,LAW,2,140
DFW,LAW,3,140
DFW,LAW,2,140
DFW,LAW,3,140
DFW,CLL,1,164
DFW,JLN,2,327
DFW,JLN,3,327
DFW,JLN,2,327
DFW,JLN,3,327
DFW,LRD,2,396
DFW,LRD,3,396
DFW,BTR,1,383
DFW,BTR,2,383
CLT,TYS,1,177
CLT,TYS,2,177
CLT,TYS,3,177
DFW,LRD,1,396
DFW,SHV,2,190
DFW,SHV,3,190
DFW,SHV,2,190
DFW,GRK,2,134
DFW,GRK,3,134
DFW,CLL,1,164
DFW,SHV,1,190
DFW,SHV,2,190
DFW,SHV,3,190
DFW,LRD,1,396
DFW,LRD,2,396
DFW,CLL,2,164
DFW,CLL,3,164
DFW,SHV,1,190
DFW,SHV,2,190
DFW,SHV,3,190
DFW,BTR,1,383
DFW,BTR,2,383
DFW,BTR,3,383
DFW,LRD,1,396
DFW,LRD,2,396
DFW,LRD,3,396
DFW,BTR,1,383
DFW,BTR,2,383
DFW,BTR,3,383
DFW,CLL,1,164
DFW,LRD,1,396
DFW,PIB,1,462
DFW,MEI,1,485
DFW,MEI,1,485
ORD,LAN,1,179
ORD,LAN,2,179
ORD,LAN,3,179
ORD,LAN,1,179
ORD,LAN,2,179
ORD,LAN,3,179
ORD,STL,1,258
ORD,STL,2,258
ORD,TVC,3,224
